Timestamp,kW
2022-10-28 12:30:00,4.288
2022-10-28 13:00:00,3.406
2022-10-28 13:30:00,2.706
2022-10-28 14:00:00,3.178
2022-10-28 14:30:00,3.045
2022-10-28 15:00:00,2.334
2022-10-28 15:30:00,1.698
2022-10-28 16:00:00,1.052
2022-10-28 16:30:00,0.299
2022-10-28 17:00:00,0.24
2022-10-28 17:30:00,0.102
2022-10-28 18:00:00,0.045
2022-10-28 18:30:00,0.045
2022-10-28 19:00:00,0.0
2022-10-29 06:00:00,0.238
2022-10-29 06:30:00,0.295
2022-10-29 07:00:00,1.119
2022-10-29 07:30:00,1.2
2022-10-29 08:00:00,3.023
2022-10-29 08:30:00,3.525
2022-10-29 09:00:00,2.9
2022-10-29 09:30:00,4.231
2022-10-29 10:00:00,4.607
2022-10-29 10:30:00,0.999
2022-10-29 11:00:00,4.724
2022-10-29 11:30:00,4.944
2022-10-29 12:00:00,4.576
2022-10-29 12:30:00,1.425
2022-10-29 13:00:00,4.779
2022-10-29 13:30:00,3.882
2022-10-29 14:00:00,3.659
2022-10-29 14:30:00,3.119
2022-10-29 15:00:00,2.512
2022-10-29 15:30:00,1.612
2022-10-29 16:00:00,1.142
2022-10-29 16:30:00,0.448
2022-10-29 17:00:00,0.271
2022-10-29 17:30:00,0.117
2022-10-29 18:00:00,0.047
2022-10-29 18:30:00,0.047
2022-10-29 19:00:00,0.0
2022-10-30 06:00:00,0.25
2022-10-30 06:30:00,0.638
2022-10-30 07:00:00,1.309
2022-10-30 07:30:00,0.797
2022-10-30 08:00:00,1.153
2022-10-30 08:30:00,1.337
2022-10-30 09:00:00,0.683
2022-10-30 09:30:00,1.795
2022-10-30 10:00:00,1.235
2022-10-30 10:30:00,1.368
2022-10-30 11:00:00,2.339
2022-10-30 11:30:00,3.813
2022-10-30 12:00:00,2.209
2022-10-30 12:30:00,1.036
2022-10-30 13:00:00,2.007
2022-10-30 13:30:00,1.187
2022-10-30 14:00:00,1.763
2022-10-30 14:30:00,1.165
2022-10-30 15:00:00,3.327
2022-10-30 15:30:00,0.94
2022-10-30 16:00:00,0.345
2022-10-30 16:30:00,0.422
2022-10-30 17:00:00,0.29
2022-10-30 17:30:00,0.114
2022-10-30 18:00:00,0.048
2022-10-30 18:30:00,0.048
2022-10-30 19:00:00,0.0
2022-10-31 06:00:00,0.456
2022-10-31 06:30:00,0.551
2022-10-31 07:00:00,0.607
2022-10-31 07:30:00,0.585
2022-10-31 08:00:00,0.712
2022-10-31 08:30:00,0.851
2022-10-31 09:00:00,1.069
2022-10-31 09:30:00,1.072
2022-10-31 10:00:00,1.136
2022-10-31 10:30:00,1.158
