,Generation(kWh),GHI_sum,DNI_sum,DHI_sum,Temperature_mean,Temperature_max,Relative Humidity_mean,Wind Speed_mean,Cloud Type_mean,sin_day,cos_day
2024-05-17,328.2,4922,7032,817,26.829166666666666,31.3,81.34875000000001,0.0,1.0,0.6979441547663435,-0.7161521883143933
2024-05-18,307.2,4735,7122,739,26.3625,31.1,78.8225,0.0,0.375,0.6855476064742155,-0.7280278011569847
2024-05-19,326.9,5159,7571,859,26.245833333333334,31.3,77.23333333333333,0.0,0.25,0.672949024155833,-0.7396888608649667
2024-05-20,336.5,4913,6965,1010,26.099999999999998,30.4,71.73291666666667,0.0,0.16666666666666666,0.660152120671232,-0.7511319308705197
2024-05-21,342.8,5172,7831,783,25.6125,29.700000000000003,76.42666666666666,0.0,0.20833333333333334,0.647160667326606,-0.7623536388483902
2024-05-22,288.3,4826,7018,1071,25.758333333333336,29.8,75.13625,0.0,0.2916666666666667,0.6339784927628868,-0.7733506777097298
2024-05-23,228.0,2892,2366,1919,25.583333333333332,29.9,75.25416666666666,0.0,1.1666666666666667,0.620609481827423,-0.7841198065767103
2024-05-24,334.9,5127,7785,809,25.712500000000002,30.700000000000003,68.49666666666667,0.0,0.16666666666666666,0.6070575744291006,-0.7946578517376249
2024-05-25,329.1,4424,4757,1412,25.837500000000002,31.4,72.82125,0.0,2.7916666666666665,0.593326764377232,-0.8049617075821959
2024-05-26,223.1,3133,2198,1918,25.395833333333332,28.700000000000003,84.1675,0.0,1.4166666666666667,0.5794210982045638,-0.8150283375168113
2024-05-27,203.7,4540,5596,1164,25.2375,29.200000000000003,82.74458333333332,0.0,1.5416666666666667,0.5653446739747428,-0.8248547748594245
2024-05-28,301.4,4386,5989,1106,25.933333333333334,30.3,79.12541666666667,0.0,1.375,0.5511016400746,-0.8344381237138473
2024-05-29,274.1,4194,4719,1545,25.579166666666666,30.4,82.04833333333333,0.0,4.125,0.5366961939916005,-0.8437755598231856
2024-05-30,301.4,4421,5043,1192,23.837500000000002,26.6,78.83583333333333,0.0,1.4583333333333333,0.522132581076825,-0.8528643314021596
2024-05-31,355.1,4816,6681,964,23.416666666666668,26.700000000000003,73.11083333333333,0.0,0.75,0.5074150932938458,-0.861701759948068
2024-06-01,231.4,2945,2745,1600,23.729166666666668,27.3,76.16166666666668,0.0,1.875,0.4925480679538644,-0.8702852410301553
2024-06-02,283.6,3102,3018,1690,24.370833333333334,28.1,69.20291666666667,0.0,0.9166666666666666,0.47753588643748834,-0.8786122450571482
2024-06-03,267.2,3860,4492,1351,24.208333333333332,27.700000000000003,82.99791666666667,0.0,1.3333333333333333,0.4623829729035151,-0.8866803180227399
2024-06-04,329.1,4515,5952,1111,24.3,28.5,87.185,0.0,2.2083333333333335,0.44709379298511426,-0.8944870822287954
2024-06-05,233.0,3431,3472,1698,23.829166666666666,27.1,87.92375,0.0,1.4166666666666667,0.43167285247378384,-0.9020302369860707
2024-06-06,255.3,2910,2374,1674,24.191666666666666,28.0,86.555,0.0,2.0416666666666665,0.4161246959914746,-0.9093075592922357
2024-06-07,321.6,4449,6377,992,24.416666666666668,28.0,83.41125,0.0,0.20833333333333334,0.4004539056512664,-0.9163169044870048
2024-06-08,176.8,2549,1621,1684,23.9875,27.6,81.60166666666667,0.0,1.75,0.3846650997070012,-0.923056206884176
2024-06-09,301.1,3844,3615,1917,23.74166666666667,27.6,79.24625,0.0,4.166666666666667,0.3687629311922603,-0.9295234803804002
2024-06-10,317.8,4907,7695,771,23.970833333333335,28.8,76.26333333333334,0.0,0.125,0.352752086549095,-0.9357168190404935
2024-06-11,284.6,4910,7786,749,23.537499999999998,28.6,78.99249999999999,0.0,0.08333333333333333,0.3366372842469106,-0.9416343976591258
2024-06-12,238.6,4950,7934,727,23.666666666666668,27.9,72.16375000000001,0.0,0.16666666666666666,0.3204232733919116,-0.9472744722987168
2024-06-13,118.0,2440,1654,1464,24.4875,28.6,73.55499999999999,0.0,1.5416666666666667,0.30411483232751846,-0.9526353808033824
2024-06-14,315.5,4348,5946,1332,24.120833333333334,28.5,68.67125,0.0,0.375,0.2877167672261668,-0.9577155432887804
2024-06-15,315.1,4173,4874,1436,24.733333333333334,29.1,76.14666666666666,0.0,1.375,0.27123391067291,-0.9625134626077081
2024-06-16,243.7,3868,4686,1309,24.416666666666668,28.6,78.89874999999999,0.0,1.2916666666666667,0.2546711202412288,-0.9670277247913204
2024-06-17,156.6,3627,4153,1339,24.145833333333332,28.700000000000003,79.74,0.0,1.2083333333333333,0.2380332770614858,-0.9712569994658313
